id,name,product,price,date
576,Louisa Klugel,Appetizer - Tarragon Chicken,58.93,10/21/2022
577,Tris Phinnis,"Beef - Tongue, Fresh",84.85,10/21/2022
578,Haslett Roget,Zucchini - Green,62.62,10/21/2022
579,Ricca Jakubczyk,"Chicken - Leg, Fresh",,10/21/2022
580,Web McEvay,Bagelers - Cinn / Brown Sugar,50.91,10/21/2022
581,Alister Pardon,Coconut Milk - Unsweetened,,10/21/2022
582,Innis Wynrehame,Pop Shoppe Cream Soda,,10/21/2022
583,Carmella Schnitter,Towel Multifold,,10/21/2022
584,Francoise Southers,"Cherries - Maraschino,jar",96.02,10/21/2022
585,Connor Sarfatti,Lotus Rootlets - Canned,85.10,10/21/2022
586,Urbanus Feather,Wine - Rosso Del Veronese Igt,78.54,10/21/2022
587,Jolee Canlin,"Syrup - Golden, Lyles",55.34,10/21/2022
588,Helli Peake,"Bread - Roll, Soft White Round",27.07,10/21/2022
589,Talbert Daniel,Propel Sport Drink,71.30,10/21/2022
590,Linell Ornells,Muffin Mix - Morning Glory,27.24,10/21/2022
591,Annette Tolworth,"Lettuce - Mini Greens, Whole",18.37,10/21/2022
592,Gayla Deniset,"Bread - White, Unsliced",75.28,10/21/2022
593,Stearne Jery,Curry Powder Madras,31.28,10/21/2022
594,Brit Doughton,"Cheese - Havarti, Salsa",,10/21/2022
595,Anna-diane Kasparski,Beef Ground Medium,79.06,10/21/2022
596,Adolphe Marikhin,Dragon Fruit,76.27,10/21/2022
597,Ronald Welburn,"Bread - Sticks, Thin, Plain",74.89,10/21/2022
598,Gertie Semonin,Chinese Foods - Plain Fried Rice,76.99,10/21/2022
599,Hirsch De Morena,"Sprite, Diet - 355ml",71.60,10/21/2022
600,Erasmus Thorbon,Scallops - Live In Shell,64.75,10/21/2022
601,Clem Castangia,Sorrel - Fresh,76.99,10/21/2022
602,Marie-jeanne Lesek,"Sparkling Wine - Rose, Freixenet",68.63,10/21/2022
603,Karisa Soffe,Flour - So Mix Cake White,40.11,10/21/2022
604,Abbie Olenchikov,Sprite - 355 Ml,83.85,10/21/2022
605,Beverly Kitson,"Pork - Sausage, Medium",40.70,10/21/2022
606,Armand Sugars,Wine - Cousino Macul Antiguas,90.76,10/21/2022
607,Trace Gilligan,Chef Hat 20cm,76.14,10/21/2022
608,Eadith Eade,Wine - Taylors Reserve,16.92,10/21/2022
609,Grove Burmingham,Pop Shoppe Cream Soda,69.35,10/21/2022
610,Tod Babidge,Food Colouring - Red,27.74,10/21/2022
611,Caryl Gebhardt,Cheese - Goat,64.53,10/21/2022
612,Malinde Simkovitz,Lettuce - Treviso,45.12,10/21/2022
613,Derrick Byrnes,Rum - Mount Gay Eclipes,50.84,10/21/2022
614,Daria McVittie,Tomato Paste,36.81,10/21/2022
615,Sharai Kinde,Sauce Tomato Pouch,86.22,10/21/2022
616,Lucina Noice,Rice - Sushi,52.66,10/21/2022
617,Orton Gardener,Coffee - Frthy Coffee Crisp,73.61,10/21/2022
618,Pen Carnie,"Nestea - Ice Tea, Diet",26.66,10/21/2022
619,Friederike Goble,Tea - Earl Grey,77.75,10/21/2022
620,Ferdie Gerrey,Wine - Jackson Triggs Okonagan,81.44,10/21/2022
621,Quinlan Hartzenberg,Chevere Logs,20.10,10/21/2022
622,Felike Corbett,"Asparagus - Green, Fresh",65.60,10/21/2022
623,Mignon Twatt,"Juice - Apple, 341 Ml",27.54,10/21/2022
624,Mercie Spight,Wine - Casillero Deldiablo,,10/21/2022
625,Shepard Penketh,Scallop - St. Jaques,10.57,10/21/2022
626,Tobi Kleynen,Ice Cream - Vanilla,57.67,10/21/2022
627,Claudine Bennison,Sauce Tomato Pouch,31.08,10/21/2022
628,Colly Bemment,Butter Sweet,19.60,10/21/2022
629,Emilee Hame,Kiwi,19.93,10/21/2022
630,Hazel Oliver-Paull,"Fish - Scallops, Cold Smoked",28.82,10/21/2022
631,Jaimie Michallat,Bag Clear 10 Lb,26.56,10/21/2022
632,Ashely Graith,Paper - Brown Paper Mini Cups,13.41,10/21/2022
633,Edee Swatridge,"Pepper - White, Ground",82.49,10/21/2022
634,Iago Zannotti,Table Cloth 91x91 Colour,77.92,10/21/2022
635,Rich Bendig,Juice - Cranberry 284ml,39.73,10/21/2022
636,Tawnya Eagers,Bread Base - Toscano,84.26,10/21/2022
637,Giordano Lorincz,Snapple - Iced Tea Peach,,10/21/2022
638,Alvinia Blazeby,Pie Shell - 9,21.64,10/21/2022
639,Amy Heald,Island Oasis - Cappucino Mix,,10/21/2022
640,Bartel Eilert,Tea - Herbal I Love Lemon,31.22,10/21/2022
641,Andriette Welton,"Tart Shells - Sweet, 2",62.69,10/21/2022
642,Shep Furness,"Bread - Pumpernickle, Rounds",13.31,10/21/2022
643,Maxy Walesby,"Wine - White, Colubia Cresh",57.21,10/21/2022
644,Staci Crennell,Food Colouring - Orange,,10/21/2022
645,Philippa Medland,Slt - Individual Portions,13.14,10/21/2022
646,Fredi Jouhning,"Lamb - Racks, Frenched",10.15,10/21/2022
647,Danielle Askham,Fond - Chocolate,52.92,10/21/2022
648,Caye McRuvie,Eggs - Extra Large,53.77,10/21/2022
649,Krystalle Cordle,Corn Kernels - Frozen,95.39,10/21/2022
650,Dare O'Currane,Duck - Breast,25.36,10/21/2022
651,Rasia Ilson,Lamb - Whole Head Off,76.78,10/21/2022
652,Glenn Orry,Ham - Cooked Italian,16.65,10/21/2022
653,Casandra Milne,Wine - Chablis 2003 Champs,64.65,10/21/2022
654,Dosi Russel,French Pastries,66.27,10/21/2022
655,Elmo Barnet,Rosemary - Dry,32.41,10/21/2022
656,Leshia Lowrance,Sugar - Icing,96.50,10/21/2022
657,Leilah Burwell,Chicken Thigh - Bone Out,58.99,10/21/2022
658,Laird Lorryman,"Roe - Lump Fish, Black",76.60,10/21/2022
659,Meara Alvar,Rice - Jasmine Sented,,10/21/2022
660,Alejoa Czajkowski,Lamb Rack Frenched Australian,73.29,10/21/2022
661,Alyda Elcock,Milk - Skim,39.72,10/21/2022
662,Christal Jonczyk,Potatoes - Mini White 3 Oz,84.26,10/21/2022
663,Rosaleen Roubeix,Ham - Cooked,35.95,10/21/2022
664,Sonya Winfred,Appetizer - Crab And Brie,,10/21/2022
665,Daniella Geer,Sage Ground Wiberg,13.60,10/21/2022
666,Radcliffe McNicol,Muffin - Mix - Bran And Maple 15l,35.78,10/21/2022
667,Fred Fansy,Saskatoon Berries - Frozen,92.82,10/21/2022
668,Antonino Chinge de Hals,Lady Fingers,69.57,10/21/2022
669,Cassondra Rizzone,Oven Mitts - 15 Inch,23.23,10/21/2022
670,Dexter Rolland,Appetizer - Seafood Assortment,63.06,10/21/2022
671,Hope Clampe,Garbage Bag - Clear,65.25,10/21/2022
672,Johnnie Brackenbury,Cookie Dough - Chunky,48.53,10/21/2022
673,Royall Allabush,Puff Pastry - Sheets,81.33,10/21/2022
674,Josephina Gallally,Wine - Jafflin Bourgongone,93.02,10/21/2022
675,Mordy Allmond,Capers - Ox Eye Daisy,30.17,10/21/2022
676,Clarabelle McClymond,Ketchup - Tomato,18.99,10/21/2022
677,Jennie Dablin,Longos - Grilled Chicken With,,10/21/2022
678,Giorgi Glyssanne,Food Colouring - Green,83.32,10/21/2022
679,Raviv Slaughter,Lemons,46.52,10/21/2022
680,Parry Ainsbury,Potatoes - Pei 10 Oz,77.43,10/21/2022
681,Augustine Harrhy,Eggplant Italian,12.37,10/21/2022
682,Elise Mulmuray,Sword Pick Asst,82.81,10/21/2022
683,Carina Horbath,Sachet,69.41,10/21/2022
684,Tasha Pedrocco,Cognac - Courvaisier,13.76,10/21/2022
685,Juliann Lankester,Artichokes - Jerusalem,75.54,10/21/2022
686,Gaven Epgrave,Beef Wellington,33.05,10/21/2022
687,Leodora Sulland,"Mustard - Dry, Powder",62.89,10/21/2022
688,Garvin Hourahan,"Veal - Leg, Provimi - 50 Lb Max",57.65,10/21/2022
689,Mabelle Cahani,Muffin Batt - Carrot Spice,,10/21/2022
690,Fabien Ingry,Tumeric,72.59,10/21/2022
691,Cristin Bernardin,Chinese Foods - Plain Fried Rice,74.34,10/21/2022
692,Lesya Boullen,"Lamb - Shoulder, Boneless",41.69,10/21/2022
693,Elena Blandamere,"Vodka - Hot, Lnferno",65.71,10/21/2022
694,Lucy Bresnahan,Dried Cranberries,20.47,10/21/2022
695,Manya Woolvin,Cream - 10%,68.31,10/21/2022
696,Astrix Cocher,Bar Bran Honey Nut,24.42,10/21/2022
697,Colan Wandrich,"Oranges - Navel, 72",76.77,10/21/2022
698,Heloise Hessing,Table Cloth 54x72 Colour,88.41,10/21/2022
699,Zachariah Cleare,Ice Cream Bar - Hageen Daz To,51.52,10/21/2022
700,Kippy Doding,Halibut - Steaks,18.02,10/21/2022
701,Xever Hawk,Sobe - Cranberry Grapefruit,38.60,10/21/2022
702,Hogan Wellfare,Ice Cream Bar - Hageen Daz To,37.88,10/21/2022
703,Judah Popescu,"Chicken - Breast, 5 - 7 Oz",11.37,10/21/2022
704,Walsh Baggs,"Cheese - Manchego, Spanish",70.01,10/21/2022
705,Kurt Devanny,Bread - Multigrain Oval,95.83,10/21/2022
706,Ozzie Biagini,Muffins - Assorted,84.85,10/21/2022
707,Cathi Morrish,Tandoori Curry Paste,72.76,10/21/2022
708,Stanleigh Moralee,Sweet Pea Sprouts,,10/21/2022
709,Leola Bergen,Cranberries - Fresh,48.62,10/21/2022
710,Freddi Bolingbroke,Aromat Spice / Seasoning,28.29,10/21/2022
711,Blaine Kainz,Tomatoes - Hot House,15.27,10/21/2022
712,Corenda Blamphin,Chevril,63.99,10/21/2022
713,Justin Davidov,"Syrup - Monin, Irish Cream",10.75,10/21/2022
714,Reggi Vinnick,Cookie Double Choco,64.18,10/21/2022
715,Genia Felderer,Bread - Granary Small Pull,27.35,10/21/2022
716,Philippine Please,Rice Paper,11.47,10/21/2022
717,Sean Bouldstridge,Celery Root,95.94,10/21/2022
718,Orson MacRirie,Cheese - St. Paulin,85.24,10/21/2022
719,Sal Gruszka,Sugar Thermometer,94.86,10/21/2022
720,Lorelle Serris,Cookie Dough - Peanut Butter,11.39,10/21/2022
721,Sophie Cumbes,"Cheese - Brie, Cups 125g",,10/21/2022
722,Veda Fadian,Rice Wine - Aji Mirin,36.80,10/21/2022
723,Robert Thewys,Nacho Chips,18.94,10/21/2022
724,Benjamen Whaites,Cookie Dough - Chocolate Chip,22.01,10/21/2022
725,Blondelle Sainteau,Coriander - Seed,,10/21/2022
726,Tildi Pellingar,Veal - Osso Bucco,97.82,10/21/2022
727,Zsa zsa Denley,Calypso - Lemonade,83.08,10/21/2022
728,Esra Mitchard,Beef - Eye Of Round,52.86,10/21/2022
729,Nessa Caughey,Soup - Campbells Beef Noodle,96.35,10/21/2022
730,Christoffer Kadd,"Water - Mineral, Carbonated",76.93,10/21/2022
731,Leonanie Mazonowicz,Shortbread - Cookie Crumbs,47.11,10/21/2022
732,Averill Hallum,Shiro Miso,90.61,10/21/2022
733,Britt Gouinlock,Cilantro / Coriander - Fresh,31.83,10/21/2022
734,Freeland Trundler,Napkin White,,10/21/2022
735,Lizbeth Dibbe,Bread - Italian Sesame Poly,32.69,10/21/2022
736,Winston Horrod,Broom Handle,,10/21/2022
737,Matthias Whitmell,Daikon Radish,12.50,10/21/2022
738,Dianna Sander,"Cheese - Romano, Grated",64.05,10/21/2022
739,Cathie Oertzen,Beef - Sushi Flat Iron Steak,12.53,10/21/2022
740,Gonzalo Gheraldi,V8 Splash Strawberry Banana,,10/21/2022
741,Rudolph Andryunin,"Wine - Red, Pelee Island Merlot",68.46,10/21/2022
742,Hilliary Swancott,Sprite - 355 Ml,96.09,10/21/2022
743,Kaye McKim,Ecolab Crystal Fusion,44.29,10/21/2022
744,Aubrey Deason,Tuna - Bluefin,71.91,10/21/2022
745,Sybilla Cunnane,Fork - Plastic,96.52,10/21/2022
746,Bobbye Bamblett,Coffee Cup 16oz Foam,,10/21/2022
747,Deeann Babbage,Creme De Menthe Green,71.82,10/21/2022
748,Erica O' Sullivan,Otomegusa Dashi Konbu,94.62,10/21/2022
749,Hayden Harkes,Mushrooms - Honey,51.26,10/21/2022
750,Arni Cartmill,Pur Value,56.31,10/21/2022
751,Karoly Meiklam,Tray - 16in Rnd Blk,79.03,10/21/2022
752,Matthaeus Perigoe,Ecolab - Medallion,38.32,10/21/2022
753,Barri Dossit,Ice Cream - Fudge Bars,,10/21/2022
754,Caroljean Holsey,"Apple - Delicious, Red",24.99,10/21/2022
755,Seumas Sancho,Lobak,93.02,10/21/2022
756,Karlen Overstone,Butter Ripple - Phillips,46.00,10/21/2022
757,Robby Liggins,Truffle - Peelings,40.69,10/21/2022
758,Torey Aimable,Cumin - Ground,41.85,10/21/2022
759,Darsie Meek,Tea - Vanilla Chai,27.53,10/21/2022
760,Gallard Garnar,"Juice - V8, Tomato",29.10,10/21/2022
761,Wilburt Alfonso,Bread Sour Rolls,83.00,10/21/2022
762,Meyer McLeman,Cheese - Mozzarella,73.21,10/21/2022
763,Benny Silcock,Tequila Rose Cream Liquor,34.39,10/21/2022
764,Deloris Ferrieroi,Muffin Orange Individual,50.91,10/21/2022
765,Silvester Dowdeswell,Pepper - Red Bell,49.64,10/21/2022
766,Alwin Takos,Tart - Raisin And Pecan,67.85,10/21/2022
767,Becca Freiburger,"Coke - Diet, 355 Ml",76.98,10/21/2022
768,Sascha Kubasek,"Chicken - Wings, Tip Off",78.66,10/21/2022
769,Torry Boggon,Chocolate - Milk,58.59,10/21/2022
770,Dennie Cheverell,Spice - Peppercorn Melange,13.70,10/21/2022
771,Howard Bartens,Cheese - Parmigiano Reggiano,48.18,10/21/2022
772,Bebe Danieli,"Lobster - Tail, 3 - 4 Oz",83.77,10/21/2022
773,Lavinia Kilbee,Lettuce - Iceberg,,10/21/2022
774,Walsh Matej,Lemon Tarts,49.78,10/21/2022
775,Dion Killock,Crackers Cheez It,61.32,10/21/2022
776,Julian Bodell,"Wine - White, Mosel Gold",54.79,10/21/2022
777,Ferd Casiero,Ocean Spray - Ruby Red,81.64,10/21/2022
778,Kyle Stopher,Lettuce - Romaine,35.49,10/21/2022
779,Stephan Messer,Haggis,,10/21/2022
780,Sherwin Benzing,Shrimp - Black Tiger 6 - 8,73.68,10/21/2022
781,Kaila Trase,Praline Paste,13.74,10/21/2022
782,Frederigo Camber,Cheese - Parmigiano Reggiano,91.02,10/21/2022
783,Mick Laphorn,Energy Drink Bawls,58.93,10/21/2022
784,Madonna Beazey,Table Cloth 90x90 White,28.11,10/21/2022
785,Lenard Birtley,"Artichokes - Knobless, White",22.29,10/21/2022
786,Alleyn Dunstone,Capon - Whole,,10/21/2022
787,Dawna Batchelour,Beer - Tetleys,11.22,10/21/2022
788,Amelita Fairy,Horseradish - Prepared,28.80,10/21/2022
789,Adolf Iacobucci,Jolt Cola - Electric Blue,29.68,10/21/2022
790,Bryanty Hagston,Neckerchief Blck,38.52,10/21/2022
791,Husain Elliker,Chocolate Bar - Smarties,91.35,10/21/2022
792,Mikel Dungee,Cleaner - Bleach,70.29,10/21/2022
793,Merwyn Tomaszynski,Lobster - Base,86.11,10/21/2022
794,Robin Note,Lettuce - Green Leaf,96.21,10/21/2022
795,Jeffie Waslin,"Cheese - Havarti, Roasted Garlic",44.07,10/21/2022
796,Almeta Golling,Olive - Spread Tapenade,63.47,10/21/2022
797,Deina Lofts,Pineapple - Regular,80.63,10/21/2022
798,Eustace Hinks,Basil - Pesto Sauce,,10/21/2022
799,Chancey Gornar,Cocoa Powder - Dutched,59.78,10/21/2022
800,Aube Twatt,Beef - Top Sirloin,21.33,10/21/2022
801,Russell Bickersteth,Creamers - 10%,62.69,10/21/2022
802,Jolynn Arnell,Tray - 12in Rnd Blk,28.48,10/21/2022
803,Lynette Winsborrow,Onions - Cooking,62.44,10/21/2022
804,Zed Sapseed,Lady Fingers,58.78,10/21/2022
805,Hanan Mussettini,Grapefruit - Pink,78.42,10/21/2022
806,Andrea Hamer,"Crab - Blue, Frozen",53.73,10/21/2022
807,Concordia Perrottet,"Glass - Wine, Plastic, Clear 5 Oz",51.98,10/21/2022
808,Arley Djurdjevic,Anchovy Fillets,44.34,10/21/2022
809,Deerdre Rooper,Wine - Sawmill Creek Autumn,37.62,10/21/2022
810,Fallon Abotson,Towels - Paper / Kraft,24.73,10/21/2022
811,Vance Theunissen,Calypso - Lemonade,,10/21/2022
812,Valentijn D'Errico,Appetizer - Chicken Satay,69.02,10/21/2022
813,Fair Pankettman,Turkey Leg With Drum And Thigh,63.38,10/21/2022
814,Avram Patington,Spice - Chili Powder Mexican,62.14,10/21/2022
815,Crissy Helks,Dikon,11.21,10/21/2022
816,Julieta Newens,Chicken - Soup Base,57.45,10/21/2022
817,Thomasa Clubley,Yucca,44.02,10/21/2022
818,Maurine Trowler,Lamb - Bones,,10/21/2022
819,Guinna MacMillan,Instant Coffee,80.11,10/21/2022
820,Christian Robelet,Wine - Cotes Du Rhone,13.38,10/21/2022
821,Jedidiah Couthard,Petite Baguette,56.82,10/21/2022
822,Jed Davet,Wine - Fino Tio Pepe Gonzalez,86.94,10/21/2022
823,Barnie Tenby,Lamb - Shoulder,14.11,10/21/2022
824,Fiorenze Smallridge,Squid - Breaded,12.88,10/21/2022
825,Tobe Cornau,"Mushroom - Trumpet, Dry",87.32,10/21/2022
826,Ania Bendik,Muffin - Mix - Bran And Maple 15l,43.84,10/21/2022
827,Bobbie Stoney,Sausage - Meat,81.79,10/21/2022
828,Bennie Lipson,Absolut Citron,77.33,10/21/2022
829,Janek Charpin,Breakfast Quesadillas,36.92,10/21/2022
830,Benson Hefner,Puree - Raspberry,,10/21/2022
831,Lilian Rolfe,Mints - Striped Red,19.02,10/21/2022
832,Olivette Alvy,"Tuna - Canned, Flaked, Light",56.51,10/21/2022
833,Rodie Attow,Table Cloth 144x90 White,82.97,10/21/2022
834,Elie Jouhning,Puree - Passion Fruit,55.83,10/21/2022
835,Berty Purvis,Flavouring - Orange,86.71,10/21/2022
836,Maynard Braddock,Broom - Push,80.72,10/21/2022
837,Jarrod Magnus,Lamb Rack Frenched Australian,75.98,10/21/2022
838,Arlina Helin,Carbonated Water - Blackberry,48.51,10/21/2022
839,Cordey Mandry,Steampan - Foil,90.08,10/21/2022
840,Elladine Merman,Sauce Bbq Smokey,31.06,10/21/2022
841,Vyky Greed,Cookie Double Choco,75.16,10/21/2022
842,Deidre Terney,Pheasants - Whole,74.68,10/21/2022
843,Antons Lynd,Bagel - Everything Presliced,51.57,10/21/2022
844,Joni Hurrion,"Pasta - Cappellini, Dry",76.67,10/21/2022
845,Manny Mosdall,Pepperoni Slices,14.66,10/21/2022
846,Marje Houlson,Island Oasis - Strawberry,,10/21/2022
847,Meridith Kynsey,Wine - Lamancha Do Crianza,65.71,10/21/2022
848,Christyna Stearne,Yeast Dry - Fermipan,75.68,10/21/2022
849,Emelyne Buffery,Oven Mitts - 15 Inch,90.32,10/21/2022
850,Ruthann Lawton,Goulash Seasoning,57.32,10/21/2022
851,Brynn Duffree,Bar Bran Honey Nut,84.12,10/21/2022
852,Fran Foat,Wine - Chateauneuf Du Pape,29.53,10/21/2022
853,Isidora Palffrey,Daikon Radish,85.52,10/21/2022
854,Deedee Bazely,Steampan - Lid For Half Size,38.72,10/21/2022
855,Cthrine Fatkin,Napkin - Beverage 1 Ply,30.52,10/21/2022
856,Annaliese Shackelton,Red Currants,,10/21/2022
857,Arturo Kliche,"Marsala - Sperone, Fine, D.o.c.",,10/21/2022
858,Murray Clunie,Croissants Thaw And Serve,65.79,10/21/2022
859,Bastien Gooley,"Lamb - Pieces, Diced",45.92,10/21/2022
860,Rudolfo Byart,Appetizer - Seafood Assortment,95.95,10/21/2022
861,Farah Fetters,Paste - Black Olive,65.59,10/21/2022
862,Selene Feeham,Apples - Sliced / Wedge,46.26,10/21/2022
863,Arlan Rivallant,Raisin - Dark,46.39,10/21/2022
864,Lettie Scane,Salmon Steak - Cohoe 8 Oz,18.22,10/21/2022
865,Tracey Redhead,"C - Plus, Orange",62.56,10/21/2022
866,Giselbert Fernandes,Jam - Apricot,86.68,10/21/2022
867,Dione Emanueli,Soup - Campbells Pasta Fagioli,31.53,10/21/2022
868,Scott Tuite,Wine - Shiraz South Eastern,30.93,10/21/2022
869,Reiko Drewe,Table Cloth 53x69 White,50.57,10/21/2022
870,Terri Sheara,Clam - Cherrystone,30.91,10/21/2022
871,Alfons Thinn,Chutney Sauce,,10/21/2022
872,Marion Orgen,Cake - French Pear Tart,97.10,10/21/2022
873,Lebbie Mucklestone,Wine - Masi Valpolocell,82.98,10/21/2022
874,Rani Langshaw,Wine - Balbach Riverside,51.29,10/21/2022
875,Antoinette Bukowski,Turnip - Mini,41.43,10/21/2022
876,Avis Fransemai,Yoghurt Tubes,35.55,10/21/2022
877,Maureen Leat,Curry Powder,54.26,10/21/2022
878,Ellsworth Pruvost,Pepperoni Slices,97.41,10/21/2022
879,Jacquie Polk,Rice - Brown,86.05,10/21/2022
880,Zackariah Selburn,Oxtail - Cut,66.80,10/21/2022
881,Annecorinne Clitheroe,Flour - Pastry,62.13,10/21/2022
882,Arlinda Matysik,Cucumber - Pickling Ontario,88.91,10/21/2022
883,Even Napolitano,Bread - Corn Muffaleta Onion,79.57,10/21/2022
884,Meredithe Dericut,Puree - Strawberry,,10/21/2022
885,Fran Chishull,Cup - Paper 10oz 92959,20.77,10/21/2022
886,Perren Pollett,Blouse / Shirt / Sweater,22.80,10/21/2022
887,Timmy Lathan,Soup - Base Broth Beef,24.02,10/21/2022
888,Jandy Craghead,"Pasta - Penne, Lisce, Dry",57.83,10/21/2022
889,Siffre Sabben,Squash - Butternut,19.32,10/21/2022
890,Rooney Denver,Bacon Strip Precooked,82.83,10/21/2022
891,Malachi Accombe,Snapple Lemon Tea,70.43,10/21/2022
892,Abbott Betser,"Vinegar - Balsamic, White",65.92,10/21/2022
893,Val Christofides,"Soup - Knorr, Veg / Beef",58.46,10/21/2022
894,Marthe Windham,"Turkey - Breast, Double",87.35,10/21/2022
895,Zara Tchaikovsky,Tomatoes - Yellow Hot House,24.21,10/21/2022
896,Johnnie Matiewe,Rice Paper,,10/21/2022
897,Talyah Brasener,Cod - Fillets,58.53,10/21/2022
898,Ninette Balasin,Glaze - Apricot,,10/21/2022
899,Monica Blakeney,Soup - Campbells - Chicken Noodle,55.62,10/21/2022
900,Sherwin Libbey,Water - Perrier,63.95,10/21/2022
